x  y
0.001  1e-07
0.001  1e-07
0.003  1e-07
0.003  1e-07
0.001  3e-07
0.001  3e-07
0.003  3e-07
0.003  3e-07
0.001  1e-07
0.001  1e-07
0.001  3e-07
0.001  3e-07
0.0024  1.5e-07
0.0025  2.5e-07
0.003  2.3e-07
0.001  3e-07
0.001  1e-07
0.001  1e-07
0.003  3e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.003  1e-07
0.003  3e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.003  3e-07
0.001  3e-07
0.003  1e-07
0.001  3e-07
0.001  1e-07
0.003  3e-07
0.003  3e-07
0.001  1e-07
0.001  1e-07
0.001  1e-07
0.001  1e-07
0.003  3e-07
0.001  3e-07
0.001  1e-07
0.001  3e-07
0.003  3e-07
0.003  1e-07
0.003  3e-07
0.001  1e-07
0.003  3e-07
0.001  1e-07
0.001  3e-07
0.001  3e-07
0.001  3e-07
0.001  3e-07
0.003  1e-07
0.003  3e-07
0.001  1e-07
0.001  3e-07
0.003  1e-07
0.003  1e-07
0.003  1e-07
0.001  3e-07
0.003  1e-07
0.001  3e-07
0.003  1e-07
0.003  1.8e-07
0.001  1e-07
0.003  3e-07
0.003  1.8e-07
0.001  1e-07
0.003  1e-07
0.001  3e-07
0.003  3e-07
0.001  1e-07
0.003  1e-07
0.001  1e-07
0.001  3e-07
0.001  3e-07
0.001  3e-07
0.003  3e-07
0.003  2.2e-07
0.003  1e-07
0.001  2.2e-07
0.001  2e-07
0.003  1.9e-07
0.001  2e-07
0.001  2e-07
0.003  2.1e-07
0.003  2e-07
0.003  2e-07
0.001  2e-07
0.001  2e-07
0.001  2e-07
0.001  1e-07
0.001  2.1e-07
0.003  1.8e-07
0.001  2.1e-07
0.001  2.4e-07
0.003  1e-07
0.001  1.9e-07
0.001  2.3e-07
0.001  3e-07
0.001  1.9e-07
0.003  1.8e-07
0.001  1.9e-07
0.001  2.2e-07
0.001  2.1e-07
0.001  1.9e-07
0.003  2e-07
0.003  3e-07
0.001  1.9e-07
0.001  3e-07
0.001  2e-07
0.001  3e-07
0.003  3e-07
0.001  3e-07
0.001  1e-07
0.003  1.6e-07
0.001  1e-07
0.003  2e-07
0.001  2.3e-07
0.001  1e-07
0.001  3e-07
0.001  1e-07
0.003  1e-07
0.001  2e-07
0.003  2e-07
0.001  1e-07
0.003  2e-07
0.003  3e-07
0.003  1e-07
0.001  3e-07
0.003  3e-07
0.001  1e-07
0.001  1e-07
0.003  1e-07
0.001  3e-07
0.003  1e-07
0.001  3e-07
0.001  3e-07
0.003  1e-07
0.001  1e-07
0.001  3e-07
0.001  3e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.003  1e-07
0.001  3e-07
0.003  1e-07
0.003  2e-07
0.003  1e-07
0.003  3e-07
0.001  2e-07
0.003  3e-07
0.003  1e-07
0.003  3e-07
0.001  3e-07
0.003  3e-07
0.001  1e-07
0.003  3e-07
0.001  3e-07
0.001  1e-07
0.001  1e-07
0.001  3e-07
0.001  1e-07
0.001  1e-07
0.001  1e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.001  1e-07
0.001  3e-07
0.001  1e-07
0.003  3e-07
0.001  1e-07
0.003  1e-07
0.003  3e-07
0.001  1e-07
0.001  1e-07
0.003  3e-07
0.003  3e-07
0.003  1e-07
0.003  3e-07
0.001  3e-07
0.001  3e-07
0.003  3e-07
0.003  3e-07
0.001  3e-07
0.003  1e-07
0.003  3e-07
0.001  3e-07
0.001  1e-07
0.003  1e-07
0.003  3e-07
0.003  3e-07
0.003  3e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.001  1e-07
0.003  1e-07
0.003  1e-07
0.003  3e-07
0.001  3e-07
0.001  2e-07
0.003  3e-07
0.001  3e-07
0.001  3e-07
0.001  2e-07
0.003  3e-07
0.003  1e-07
0.003  2e-07
0.001  1e-07
0.001  3e-07
0.001  1e-07
0.003  3e-07
0.001  1e-07
0.003  2e-07
0.001  2e-07
0.001  1e-07
0.003  1.9e-07
0.001  2.1e-07
0.003  1.9e-07
0.003  3e-07
0.003  3e-07
0.001  2e-07
0.001  2e-07
0.003  1e-07
0.001  2e-07
0.003  1.9e-07
0.001  2e-07
0.003  1.9e-07
0.0029  1.9e-07
0.0028  1.9e-07
0.002  3e-07
0.0012  1e-07
0.0022  3e-07
0.0012  1e-07
0.0028  3e-07
0.001  1e-07
0.001  1e-07
0.0021  3e-07
0.0023  1e-07
0.0024  2e-07
0.0017  3e-07
0.0015  3e-07
0.0013  3e-07
0.0012  3e-07
0.0013  1e-07
