x  y
0.001  2.6e-07
0.001  1e-07
0.001  3e-07
0.001  2.9e-07
0.0027  2.6e-07
0.001  2.3e-07
0.001  1e-07
0.001  1e-07
0.001  1.7e-07
0.001  1.4e-07
0.001  2.6e-07
0.001  2.1e-07
0.001  1.4e-07
0.001  2.3e-07
0.001  2.8e-07
0.001  3e-07
0.001  3e-07
0.001  1.1e-07
0.001  1.5e-07
0.001  1.5e-07
0.001  2.9e-07
0.001  1.1e-07
0.001  3e-07
0.001  3e-07
0.001  2.2e-07
0.001  1.4e-07
0.001  1.5e-07
0.001  3e-07
0.001  1.6e-07
0.001  1.8e-07
0.001  2.3e-07
0.001  1.2e-07
0.001  1.2e-07
0.001  2e-07
0.001  2.9e-07
0.001  2.2e-07
0.001  1.6e-07
0.001  1e-07
0.001  2.9e-07
0.001  1.1e-07
0.001  2.8e-07
0.001  2.9e-07
0.001  2.9e-07
0.001  1.2e-07
0.001  1.8e-07
0.001  1.9e-07
0.001  1.4e-07
0.001  1.3e-07
0.001  2.1e-07
0.001  2.3e-07
0.001  1.8e-07
0.001  2.8e-07
0.001  2.2e-07
0.001  2.3e-07
0.001  1.1e-07
0.001  1.3e-07
0.001  2e-07
0.001  1.1e-07
0.001  1.7e-07
0.001  2.4e-07
0.001  2.7e-07
0.001  1.5e-07
0.001  1e-07
0.001  2.8e-07
0.001  1.6e-07
0.001  2.3e-07
0.001  2.5e-07
0.001  1.5e-07
0.001  2.1e-07
0.001  1.3e-07
0.001  2.5e-07
0.001  2.6e-07
0.001  2.6e-07
0.001  2.9e-07
0.001  2.9e-07
0.001  1.4e-07
0.001  1.7e-07
0.001  1.5e-07
0.001  2.5e-07
0.001  1.3e-07
0.001  1.9e-07
0.001  2.2e-07
0.001  2.7e-07
0.001  1.1e-07
0.001  1.5e-07
0.001  2.9e-07
0.001  2.4e-07
0.001  2.5e-07
0.001  2.9e-07
0.001  1.1e-07
0.001  2.5e-07
0.001  2.1e-07
0.001  1.7e-07
0.001  1.3e-07
0.001  1.9e-07
0.001  1.5e-07
0.001  2.8e-07
0.001  1.4e-07
0.001  1.1e-07
0.001  2.9e-07
0.001  2.3e-07
0.001  2.6e-07
0.001  2.5e-07
0.001  1.4e-07
0.001  1.8e-07
0.001  3e-07
0.001  2.6e-07
0.001  1.3e-07
0.001  2.4e-07
0.001  1e-07
0.001  2.7e-07
0.001  1.1e-07
0.001  1.9e-07
0.001  2.9e-07
0.001  2.4e-07
0.001  1.3e-07
0.001  1.2e-07
0.001  2.9e-07
0.001  3e-07
0.001  3e-07
0.001  2.6e-07
0.001  2.1e-07
0.001  1.3e-07
0.001  2e-07
0.001  2.7e-07
0.001  1.1e-07
